Identifier,Resource type,Tag:Name
key-01c1b1a0dbab4343d,ec2:key-pair,(not tagged)
ami-0ed92f08f0d6f81c0,ec2:image,ARCHIVE_PROD_20231130
sgr-0063802adca226210,ec2:security-group-rule,(not tagged)
sgr-04e7d18af1aca7ed7,ec2:security-group-rule,(not tagged)
eni-0b6235b92e6d3bae1,ec2:network-interface,(not tagged)
sg-0c7d0e73605ad631c,ec2:security-group,(not tagged)
eipalloc-08ff27ccaf890d0bf,ec2:elastic-ip,(not tagged)
vol-03279c09757f597d1,ec2:volume,(not tagged)
sgr-06e672b0d555c7f82,ec2:security-group-rule,(not tagged)
vpc-0ada79aadb3d02f36,ec2:vpc,(not tagged)
sg-0a820f2c6132eb67e,ec2:security-group,(not tagged)
rtb-0a39a8af8df3a276c,ec2:route-table,(not tagged)
dopt-08c71d417285c3f93,ec2:dhcp-options,(not tagged)
acl-0635ed8bc875c6d1f,ec2:network-acl,(not tagged)
eni-0765c782df223d671,ec2:network-interface,(not tagged)
igw-01af87ca5b45cb5fe,ec2:internet-gateway,(not tagged)
sgr-07c91ee7023357524,ec2:security-group-rule,(not tagged)
i-07012d8f6a2f44aa3,ec2:instance,ARCHIVE PROD
snap-0db38783843df422f,ec2:snapshot,(not tagged)
sgr-099df52d0365d7830,ec2:security-group-rule,(not tagged)
sgr-0d9e5f026d91d616f,ec2:security-group-rule,(not tagged)
subnet-020aea4417eb3f984,ec2:subnet,(not tagged)
subnet-09ccd20a0e74ef154,ec2:subnet,(not tagged)
subnet-06369c06700dd51d7,ec2:subnet,(not tagged)